SequenceName	ClusterNumber
15-01420	1
15-01313	1
15-01312	1
15-01302	1
15-01281	1
15-01261	1
15-01259	1
15-01257	1
15-01258	1
15-01212	1
15-01201	1
15-01205	1
15-01200	1
15-01199	1
15-01195	1
15-01185	1
15-01178	1
15-01167	1
15-01166	1
15-01146	1
15-01138	1
15-01095	1
15-01106	1
15-01091	1
15-01100	1
15-01075	1
15-01088	1
15-01082	1
15-01081	1
15-01085	1
15-01083	1
15-01067	1
15-01072	1
15-01052	1
15-01049	1
15-01050	1
15-01056	1
15-01047	1
15-01033	1
15-01023	1
15-01016	1
15-01042	1
15-01025	1
15-01024	1
15-01015	1
15-01044	1
15-01043	1
15-01020	1
15-01021	1
15-00979	1
15-01009	1
15-00978	1
15-00964	1
15-00945	1
15-00926	1
15-00928	1
15-00959	1
15-00950	1
15-00914	1
15-00916	1
15-00907	1
15-00902	1
15-00944	1
15-00900	1
15-00880	1
15-00884	1
15-00859	1
15-00873	1
15-00887	1
15-00875	1
15-00886	1
15-00863	1
15-00870	1
15-00847	1
15-00852	1
15-00853	1
15-00851	1
15-00844	1
15-00846	1
15-00854	1
15-00838	1
15-00848	1
15-00831	1
15-00837	1
15-00832	1
15-00825	1
15-00917	1
15-00812	1
15-00811	1
15-00813	1
15-00829	1
15-00795	1
15-00815	1
15-00814	1
15-00800	1
15-00797	1
15-00787	1
15-00788	1
15-00783	1
15-00796	1
15-00782	1
15-00777	1
15-00768	1
15-00765	1
15-00779	1
15-00739	1
15-00742	1
15-00752	1
15-00737	1
15-00755	1
15-00772	1
15-00749	1
15-00770	1
15-00753	1
15-00731	1
15-00751	1
15-00721	1
15-00757	1
15-00760	1
15-00723	1
15-00734	1
15-00743	1
15-00718	1
15-00704	1
15-00709	1
15-00682	1
15-00710	1
15-00694	1
15-00673	1
15-00728	1
15-00660	1
15-00729	1
15-00652	1
15-00679	1
15-00716	1
15-00664	1
15-00650	1
15-00642	1
15-00671	1
15-00646	1
15-00639	1
15-00676	1
15-00633	1
15-00630	1
15-00643	1
15-00667	1
15-00668	1
15-00613	1
15-00589	1
15-00606	1
15-00597	1
15-00611	1
15-00584	1
15-00583	1
15-00594	1
15-00561	1
15-00649	1
15-00629	1
15-00573	1
15-00712	1
15-00546	1
15-00548	1
15-00558	1
15-00533	1
15-00627	1
15-00513	1
15-00549	1
15-00517	1
15-00502	1
15-00530	1
15-00512	1
15-00531	1
15-00514	1
15-00626	1
15-00527	1
15-00496	1
15-00500	1
15-00497	1
15-00487	1
15-00472	1
15-00536	1
15-00460	1
15-00499	1
15-00428	1
15-00431	1
15-00426	1
15-00465	1
15-00450	1
15-00439	1
15-00504	1
15-00412	1
15-00393	1
15-00414	1
15-00427	1
15-00403	1
15-00432	1
15-00395	1
15-00400	1
15-00372	1
15-00425	1
15-00363	1
15-00364	1
15-00625	1
15-00361	1
15-00359	1
15-00624	1
15-00344	1
15-00424	1
15-00334	1
15-00357	1
15-00330	1
15-00343	1
15-00336	1
15-00622	1
15-00326	1
15-00325	1
15-00345	1
15-00621	1
15-00307	1
15-00319	1
15-00296	1
15-00323	1
15-00620	1
15-00311	1
15-00294	1
15-00289	1
15-00293	1
15-00297	1
15-00619	1
15-00288	1
15-00286	1
15-00274	1
15-00276	1
15-00265	1
15-00266	1
15-00259	1
15-00267	1
15-00272	1
15-00255	1
15-00246	1
15-00285	1
15-00254	1
15-00284	1
15-00241	1
15-00253	1
15-00258	1
15-00237	1
15-00283	1
15-00240	1
