SequenceName	ClusterNumber
10-00500	-1
09-00154	-1
19-01352	-1
05-01027	-1
03-03738	-1
11-00106	-1
01-01964	-1
01-00025	-1
01-00111	-1
00-05622	-1
00-04957	-1
00-04913	-1
01-01227	-1
05-00239	-1
01-00321	-1
01-02449	-1
13-00779	1
13-00780	1
13-00778	1
14-00279	1
02-00711	-1
11-00201	-1
11-00282	-1
09-00253	-1
16-00012	-1
14-00051	-1
16-00643	2
16-00616	2
15-01352	3
15-01353	3
02-02019	-1
00-02826	-1
00-00049	-1
00-04948	4
00-04936	4
00-05213	5
00-05039	5
00-05198	5
12-00245	-1
01-02192	-1
01-02454	6
01-02451	6
01-00215	-1
01-00400	7
01-00653	7
01-00394	7
00-02769	-1
01-01771	-1
12-00001	-1
02-00252	-1
10-00087	-1
08-00177	8
08-00161	8
06-00524	-1
02-00585	-1
11-00211	-1
02-02200	-1
00-00043	-1
06-00025	-1
12-00241	-1
23-00796	-1
00-04956	-1
08-00746	9
08-00745	9
08-00275	-1
02-00297	-1
02-00440	-1
01-00032	-1
02-00726	-1
02-00188	-1
02-00661	-1
00-02775	-1
02-00535	-1
02-00794	-1
02-00360	-1
02-00441	-1
01-02641	-1
02-00787	-1
02-00025	-1
14-00178	-1
08-00727	-1
10-00057	-1
11-00250	10
11-00251	10
11-00417	11
11-00410	11
11-00415	11
02-02212	-1
00-00061	-1
06-00048	-1
14-00543	-1
11-00840	-1
24-00157	-1
19-00874	-1
10-00134	-1
12-00315	-1
10-00107	12
10-00093	12
14-00277	13
14-00275	13
14-00241	13
14-00210	13
14-00163	13
14-00047	13
14-00099	13
14-00043	13
00-05203	-1
00-05243	14
00-05261	14
00-05235	14
06-00377	15
06-00376	15
06-00456	-1
06-00541	-1
06-00153	-1
06-00568	-1
06-00361	-1
06-00197	-1
06-00511	16
06-00460	16
06-00226	17
06-00224	17
06-00379	18
06-00219	18
09-00178	-1
08-00753	19
08-00748	19
05-00061	-1
05-00135	20
05-00136	20
05-00155	-1
06-00445	-1
08-00517	-1
02-00444	-1
02-00714	-1
02-01093	-1
02-01094	-1
01-00746	-1
01-00871	-1
01-00489	-1
01-00276	-1
01-00313	-1
01-00816	-1
00-00022	-1
03-00236	-1
00-02798	21
00-02797	21
