SequenceName	ClusterNumber
11-00417	1
11-00410	1
11-00415	1
11-00250	1
11-00251	1
11-00211	1
11-00201	1
11-00106	1
10-00500	1
01-00400	2
01-00653	2
01-00394	2
01-00215	2
00-05622	2
01-00111	2
01-00025	2
01-02454	2
01-02451	2
01-02192	2
01-01964	2
09-00154	-1
15-01352	3
15-01353	3
16-00643	3
16-00616	3
14-00051	3
16-00012	3
09-00253	3
11-00282	3
19-01352	-1
00-05239	4
00-05252	4
00-05238	4
00-05226	4
00-04961	4
00-04959	4
00-04946	4
00-04938	4
00-04933	4
00-04928	4
00-04932	4
00-04929	4
00-04914	4
00-04919	4
00-04917	4
00-02824	4
00-02816	4
00-02804	4
00-02792	4
00-02773	4
00-02757	4
00-02699	4
00-00061	4
00-00043	4
00-05213	4
00-05039	4
00-05198	4
00-04948	4
00-04936	4
00-00049	4
00-02826	4
03-03660	4
03-03644	4
03-03643	4
03-03627	4
03-00380	4
03-00255	4
03-00257	4
03-00251	4
03-00243	4
03-00242	4
03-00241	4
03-00234	4
03-00212	4
03-00203	4
03-00096	4
03-00186	4
03-00187	4
03-00178	4
03-00182	4
03-00183	4
03-00181	4
03-00177	4
03-00179	4
03-00176	4
03-00188	4
03-00173	4
02-02218	4
02-02212	4
02-02200	4
02-02019	4
05-01027	-1
03-03738	-1
00-05243	5
00-05261	5
00-05235	5
00-05203	5
00-04956	5
00-02769	5
01-01227	5
00-04913	5
00-04957	5
06-00625	6
06-00631	6
06-00616	6
06-00598	6
06-00597	6
06-00601	6
06-00623	6
06-00575	6
06-00567	6
06-00549	6
06-00540	6
06-00514	6
06-00517	6
06-00515	6
06-00498	6
06-00507	6
06-00513	6
06-00499	6
06-00503	6
06-00502	6
06-00472	6
06-00481	6
06-00486	6
06-00484	6
06-00485	6
06-00512	6
06-00471	6
06-00470	6
06-00457	6
06-00459	6
06-00446	6
06-00438	6
06-00435	6
06-00440	6
06-00418	6
06-00443	6
06-00414	6
06-00402	6
06-00405	6
06-00390	6
06-00395	6
06-00389	6
06-00394	6
06-00393	6
06-00388	6
06-00383	6
06-00381	6
06-00387	6
06-00373	6
06-00372	6
06-00365	6
06-00364	6
06-00363	6
06-00356	6
06-00352	6
06-00296	6
06-00346	6
06-00360	6
06-00345	6
06-00347	6
06-00359	6
06-00358	6
06-00300	6
06-00344	6
06-00350	6
06-00290	6
06-00292	6
06-00349	6
06-00294	6
06-00291	6
06-00298	6
06-00297	6
06-00285	6
06-00281	6
06-00301	6
06-00283	6
06-00277	6
06-00278	6
06-00261	6
06-00280	6
06-00269	6
06-00253	6
06-00266	6
06-00267	6
06-00256	6
06-00257	6
06-00247	6
06-00246	6
06-00248	6
06-00264	6
06-00265	6
06-00262	6
06-00242	6
06-00250	6
06-00239	6
06-00252	6
06-00251	6
06-00234	6
06-00238	6
06-00241	6
06-00240	6
06-00229	6
06-00231	6
06-00225	6
06-00222	6
06-00210	6
06-00227	6
06-00223	6
06-00206	6
06-00201	6
06-00202	6
06-00200	6
06-00162	6
06-00164	6
06-00163	6
06-00160	6
06-00173	6
06-00185	6
06-00149	6
06-00148	6
06-00146	6
06-00151	6
06-00152	6
06-00147	6
06-00154	6
06-00142	6
06-00145	6
06-00143	6
06-00139	6
06-00141	6
06-00127	6
06-00130	6
06-00051	6
06-00254	6
06-00263	6
06-00287	6
06-00299	6
06-00205	6
06-00199	6
06-00230	6
06-00351	6
06-00275	6
06-00379	6
06-00219	6
06-00226	6
06-00224	6
06-00511	6
06-00460	6
06-00197	6
06-00361	6
06-00568	6
06-00153	6
06-00541	6
06-00456	6
05-00473	6
05-00469	6
05-00467	6
05-00464	6
05-00465	6
05-00374	6
05-00355	6
05-00353	6
05-00322	6
05-00321	6
05-00288	6
05-00287	6
05-00266	6
05-00265	6
05-00255	6
04-00132	6
06-00377	6
06-00376	6
01-01771	6
01-02449	6
01-00321	6
05-00239	6
06-00057	7
06-00058	7
07-00450	7
06-00054	7
06-00050	7
06-00036	7
06-00048	7
06-00025	7
12-00245	7
13-00779	8
13-00780	8
13-00778	8
14-00279	8
08-00753	9
08-00748	9
09-00178	9
08-00746	9
08-00745	9
12-00001	9
02-00711	-1
03-03674	10
03-03616	10
03-00351	10
03-00265	10
03-00266	10
02-01044	10
02-00944	10
02-00940	10
02-00934	10
02-00872	10
02-00865	10
