,18-00739_D8_100,18-00754_D8_100,18-00737_D8_100,18-00713_D8_100,18-00735_D8_100,18-00734_D8_100,18-00697_D8_100,18-00699_D8_100,18-00706_D8_100,18-00705_D8_100,18-00692_D8_100,18-00703_D8_100,18-00686_D8_100,19-00565_D8_100,19-00532_D8_100,19-00477_D8_100,19-00408_D8_100,19-00125_D8_100,19-00094_D8_100,19-00086_D8_100,19-00061_D8_100,19-00677_D8_100,19-00402_D8_100,19-00971_D8_100,19-00257_D8_100
18-00739_D8_100,0.0,,,,,,,,,,,,,,,,,,,,,,,,
18-00754_D8_100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
18-00737_D8_100,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
18-00713_D8_100,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
18-00735_D8_100,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
18-00734_D8_100,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
18-00697_D8_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
18-00699_D8_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
18-00706_D8_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
18-00705_D8_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
18-00692_D8_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
18-00703_D8_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
18-00686_D8_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
19-00565_D8_100,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,,,,,,,,,,,
19-00532_D8_100,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,0.0,,,,,,,,,,
19-00477_D8_100,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,0.0,0.0,,,,,,,,,
19-00408_D8_100,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.0,0.0,0.0,0.0,,,,,,,,
